ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Difference from HDI rank (2021)
THA,Thailand,Very High,EAP,66.0,24.0
TJK,Tajikistan,Medium,ECA,122.0,24.0
TKM,Turkmenistan,High,ECA,91.0,-20.0
TLS,Timor-Leste,Medium,EAP,140.0,
TON,Tonga,High,EAP,91.0,
TTO,Trinidad and Tobago,Very High,LAC,57.0,
TUN,Tunisia,High,AS,97.0,21.0
TUR,Turkey,Very High,ECA,48.0,14.0
TUV,Tuvalu,Medium,EAP,130.0,
TZA,Tanzania,Low,SSA,160.0,8.0
UGA,Uganda,Low,SSA,166.0,5.0
UKR,Ukraine,High,ECA,77.0,11.0
URY,Uruguay,Very High,LAC,58.0,15.0
USA,United States,Very High,,21.0,-36.0
UZB,Uzbekistan,High,ECA,101.0,25.0
VCT,Saint Vincent and the Grenadines,High,LAC,89.0,
VEN,Venezuela,Medium,LAC,120.0,9.0
VNM,Viet Nam,High,EAP,115.0,17.0
VUT,Vanuatu,Medium,EAP,140.0,
WSM,Samoa,High,EAP,111.0,
YEM,Yemen,Low,AS,183.0,1.0
ZAF,South Africa,High,SSA,109.0,6.0
ZMB,Zambia,Medium,SSA,154.0,7.0
ZWE,Zimbabwe,Medium,SSA,146.0,10.0
