Difference from HDI value (%) (1990),Difference from HDI value (%) (1991),Difference from HDI value (%) (1992),Difference from HDI value (%) (1993),Difference from HDI value (%) (1994),Difference from HDI value (%) (1995),Difference from HDI value (%) (1996),Difference from HDI value (%) (1997),Difference from HDI value (%) (1998),Difference from HDI value (%) (1999),Difference from HDI value (%) (2000),Difference from HDI value (%) (2001),Difference from HDI value (%) (2002),Difference from HDI value (%) (2003),Difference from HDI value (%) (2004),Difference from HDI value (%) (2005),Difference from HDI value (%) (2006),Difference from HDI value (%) (2007),Difference from HDI value (%) (2008),Difference from HDI value (%) (2009),Difference from HDI value (%) (2010),Difference from HDI value (%) (2011),Difference from HDI value (%) (2012),Difference from HDI value (%) (2013),Difference from HDI value (%) (2014),Difference from HDI value (%) (2015),Difference from HDI value (%) (2016),Difference from HDI value (%) (2017),Difference from HDI value (%) (2018),Difference from HDI value (%) (2019),Difference from HDI value (%) (2020),Difference from HDI value (%) (2021)
,,,,,,,,,1.706484642,1.351351351,1.337792642,1.320132013,1.935483871,1.875,1.812688822,1.769911504,1.497005988,1.719197708,1.666666667,1.612903226,1.822916667,2.025316456,1.990049751,1.960784314,1.913875598,2.107728337,2.054794521,1.559020045,1.548672566,1.559020045,1.559020045
0.755667506,0.76142132,0.726392252,0.714285714,0.702576112,0.917431193,0.907029478,0.883002208,1.070663812,1.03950104,1.030927835,1.016260163,1.002004008,0.99009901,0.978473581,1.158301158,1.145038168,1.138519924,1.320754717,1.293900185,1.446654611,1.426024955,1.573426573,1.567944251,1.372212693,1.495016611,1.470588235,1.446945338,1.732283465,1.708074534,1.679389313,1.815431165
12.71929825,9.356725146,9.329446064,9.724238026,9.406657019,10.42857143,10.97046414,10.62322946,11.03351955,11.80555556,10.75862069,12.26158038,11.62162162,12.55006676,12.3015873,14.04199475,14.863103,15.11627907,15.2173913,13.24840764,11.64556962,12.0906801,14.78696742,12.17391304,12.76332094,13.72064277,13.72064277,13.86138614,11.37206428,11.35802469,10.97256858,10.94339623
31.67115903,32.43606999,31.24165554,33.90275953,34.68586387,35.75129534,36.24678663,37.69230769,39.87261146,35.74144487,33.70927318,25.74626866,28.23383085,28.03970223,28.23383085,30.3860523,28.23383085,32.09417596,32.17821782,27.54342432,26.85643564,26.20519159,26.80538556,29.49029126,28.91566265,27.50582751,26.70520231,29.34407365,26.62116041,26.30385488,25.9977195,26.05714286
,,,,,23.17541613,21.85514612,23.46938776,22.92993631,26.07052897,27.90988736,28.08988764,29.35323383,29.9378882,28.50061958,28.97657213,27.55227552,29.43349754,26.72413793,24.9382716,23.27586207,24.13793103,25.52147239,25.0,27.43902439,27.19512195,27.46051033,27.63636364,23.21644498,22.54901961,21.96319018,21.92118227
,,,,,,,,,,6.146926537,6.25,7.555555556,8.491947291,8.405797101,7.814761216,8.154506438,8.628005658,9.749303621,9.431345354,9.517241379,10.24590164,10.46979866,10.11984021,10.05291005,10.51248357,11.55844156,11.52849741,11.59793814,12.2605364,11.52368758,11.41025641
,,,,,7.511045655,6.851311953,6.213872832,7.317073171,7.560627675,7.02247191,7.681564246,8.321775312,9.452054795,9.299191375,5.733333333,6.167979003,7.761966365,7.918263091,6.114649682,8.860759494,8.531994981,7.692307692,8.415841584,8.497536946,7.512315271,7.257072571,7.466340269,7.82396088,7.343941248,7.063197026,7.054455446
13.99662732,11.33333333,12.17105263,12.37785016,12.13592233,10.64516129,10.59390048,11.04,11.66134185,11.37440758,12.8125,14.30793157,15.18404908,15.60606061,14.69265367,11.14457831,10.44117647,10.2189781,9.956709957,9.70042796,9.052333805,8.603667137,8.695652174,8.56741573,9.026798307,9.745762712,9.831460674,9.759547383,6.798866856,6.95035461,6.811594203,6.734992679
4.181818182,3.928571429,4.049295775,4.325259516,4.429301533,4.682274247,4.597701149,4.838709677,4.905063291,4.912836767,4.588607595,4.430379747,4.603174603,4.625199362,4.792332268,4.881889764,5.015673981,4.96124031,5.214723926,5.47112462,5.287009063,5.688622754,5.934718101,6.158357771,6.432748538,6.666666667,6.847360913,6.779661017,6.722689076,6.834030683,6.628242075,6.502890173
6.721311475,6.655844156,6.430868167,6.19047619,6.426332288,6.811145511,6.584992343,6.818181818,6.906906907,6.706408346,6.77466863,6.705539359,6.647398844,6.686046512,6.791907514,7.163323782,7.428571429,8.238636364,9.090909091,8.926080893,10.2351314,11.4010989,11.33879781,11.6,11.27320955,10.75697211,10.33112583,10.54018445,10.20942408,10.44386423,10.42216359,10.34482759
