Expected Years of Schooling (1990),Expected Years of Schooling (1991),Expected Years of Schooling (1992),Expected Years of Schooling (1993),Expected Years of Schooling (1994),Expected Years of Schooling (1995),Expected Years of Schooling (1996),Expected Years of Schooling (1997),Expected Years of Schooling (1998),Expected Years of Schooling (1999),Expected Years of Schooling (2000),Expected Years of Schooling (2001),Expected Years of Schooling (2002),Expected Years of Schooling (2003),Expected Years of Schooling (2004),Expected Years of Schooling (2005),Expected Years of Schooling (2006),Expected Years of Schooling (2007),Expected Years of Schooling (2008),Expected Years of Schooling (2009),Expected Years of Schooling (2010),Expected Years of Schooling (2011),Expected Years of Schooling (2012),Expected Years of Schooling (2013),Expected Years of Schooling (2014),Expected Years of Schooling (2015),Expected Years of Schooling (2016),Expected Years of Schooling (2017),Expected Years of Schooling (2018),Expected Years of Schooling (2019),Expected Years of Schooling (2020),Expected Years of Schooling (2021),Mean Years of Schooling (1990),Mean Years of Schooling (1991),Mean Years of Schooling (1992),Mean Years of Schooling (1993),Mean Years of Schooling (1994),Mean Years of Schooling (1995),Mean Years of Schooling (1996),Mean Years of Schooling (1997),Mean Years of Schooling (1998),Mean Years of Schooling (1999),Mean Years of Schooling (2000),Mean Years of Schooling (2001),Mean Years of Schooling (2002),Mean Years of Schooling (2003),Mean Years of Schooling (2004),Mean Years of Schooling (2005),Mean Years of Schooling (2006),Mean Years of Schooling (2007),Mean Years of Schooling (2008),Mean Years of Schooling (2009),Mean Years of Schooling (2010),Mean Years of Schooling (2011),Mean Years of Schooling (2012),Mean Years of Schooling (2013),Mean Years of Schooling (2014),Mean Years of Schooling (2015),Mean Years of Schooling (2016),Mean Years of Schooling (2017),Mean Years of Schooling (2018),Mean Years of Schooling (2019),Mean Years of Schooling (2020),Mean Years of Schooling (2021)
11.0690403,11.00049019,11.03785992,10.8030901,10.44034004,10.23556995,9.938559532,9.844639778,10.009656,10.17467222,10.33968844,10.50470466,10.66972088,10.8347371,10.99975332,11.16476954,11.32978576,11.49480198,11.6598182,11.82483441,11.98985063,12.15486685,12.31988307,12.48489929,12.64991551,12.81493173,12.97994795,13.14496417,13.30998039,13.47167015,13.49689007,13.49689007,,,,,,9.921096274,9.985629775,10.05058305,10.11595882,10.18175983,10.24885607,10.3159523,10.38304853,10.45014477,10.517241,10.58433723,10.65143347,10.7185297,10.73077965,10.45223045,10.46595001,10.4671402,10.47150993,10.47587967,10.47768021,10.47585011,10.55539989,10.54459953,10.54176044,10.5429697,10.5429697,10.5429697
4.517509937,4.67140007,4.496829987,4.789209843,4.751546085,4.713882327,4.676218569,4.638554811,4.600891054,4.563227296,4.525563538,4.48789978,4.851799965,5.294945002,5.738090038,6.056119919,7.438610077,8.134220123,8.883244991,9.632269859,10.24674988,10.53827477,10.82979965,11.06155014,11.37755013,11.52795982,11.48011017,10.93010998,10.77536964,10.72272189,10.72272189,10.72272189,1.460590005,1.514265001,1.567939997,1.621614993,1.675289989,1.728964984,1.78263998,1.836314976,1.889989972,1.943664968,1.997339964,2.05101496,2.104689956,2.158364952,2.212039948,2.265714943,2.319389939,2.373064935,2.426739931,2.359861612,2.292983294,2.226104975,2.159226656,2.092348337,2.025470018,2.285303354,2.54513669,2.804970026,2.962684561,3.129266883,3.129266883,3.129266883
14.03106022,14.07164955,15.30761433,16.5435791,16.8515892,17.26285934,17.59056091,17.63903745,17.68751399,17.73599052,17.92453957,18.38311005,18.42923927,18.61226082,18.3640995,18.71475983,18.94267082,18.96904945,18.99139023,19.01243019,19.07272911,19.12809944,19.22763062,19.41551018,19.69639015,19.76292038,19.69990921,19.77437973,19.5610199,19.60421944,19.60421944,19.60421944,9.406848637,9.547434507,9.688020377,9.828606246,9.969192116,10.10977799,10.19661043,10.28344288,10.37027533,10.45710778,10.54394023,10.64110988,10.73827952,10.83544917,10.93261881,11.02978846,11.05253029,11.11720991,11.18188953,11.3167696,11.41578007,11.46986961,11.49960995,11.53950977,11.64029026,11.89404011,11.98532009,12.23692989,12.30630493,12.37567997,12.37567997,12.37567997
5.29268,5.412683333,5.532686667,5.65269,5.772693333,5.892696667,6.0127,6.132703333,6.252706667,6.460440159,6.7301898,7.39605999,7.881559849,8.28660965,8.676859856,9.071244104,9.465628351,9.860012599,10.25439685,10.6487811,11.04316534,11.43754959,11.99856472,12.55957985,12.56748962,12.80451012,12.61454964,12.15258217,11.6906147,11.22864723,10.76667976,10.76667976,1.458545852,1.534742616,1.61492002,1.69928602,1.78365202,1.868018019,1.952384019,2.036750019,2.121116018,2.205482018,2.289848018,2.374214017,2.458580017,2.520362516,2.582145014,2.643927513,2.714795673,2.785663833,2.856531993,2.927400153,2.998268314,3.141821766,3.285375219,3.428928671,3.572482124,3.716035576,3.863223294,4.010411011,4.157598728,4.304786445,4.304786445,4.304786445
2.471770048,2.591730118,2.666199923,2.766360044,2.889139891,2.999229908,3.109319925,3.219409943,3.32949996,3.439589977,3.519029975,3.598469973,3.756090045,3.913710117,4.284245014,4.654779911,4.932059765,5.392109871,5.865530014,6.287809849,6.710559845,7.163340092,7.472980022,7.72631979,7.867080212,8.258930206,8.525589943,8.906479836,9.273730278,9.262040138,9.142100334,9.142100334,,,,,,,,,,1.280945745,1.286308519,1.291693745,1.297101516,1.302531927,1.307985073,1.31346105,1.318959951,0.55941999,0.663264275,0.76710856,0.870952845,0.97479713,1.078641415,1.1824857,1.286329985,1.444627494,1.602925003,1.761222512,1.91952002,2.114962259,2.114962259,2.114962259
5.832300186,6.022955513,6.21361084,6.404266167,6.594921494,6.78557682,6.976232147,7.166887474,7.357542801,7.548198128,7.738853455,7.929508781,8.120164108,8.310819435,8.501474762,8.692130089,8.817440033,8.862529755,8.651410103,9.224510193,9.52120769,9.817905188,10.11460268,10.41130018,10.70799768,11.00469518,11.30139267,11.59809017,12.03569031,12.23883533,12.44198036,12.44198036,3.294752292,3.399163456,3.50357462,3.607985785,3.712396949,3.816808113,3.909618037,4.00242796,4.095237884,4.188047808,4.280857732,4.396870136,4.477070141,4.557270145,4.63747015,4.717670155,4.797870159,4.878070164,4.958270168,5.038470173,5.118670177,5.198870182,5.302340031,5.064770222,5.194399834,5.98582983,6.113890171,6.270249844,6.385879993,6.549980164,7.379059792,7.379059792
12.01097965,12.13146019,11.96708965,11.87059021,11.80574036,12.14505005,12.5900898,12.69814014,12.78738976,12.90668011,12.89188957,12.89208031,12.82250977,13.21469975,13.40837955,13.50434017,13.61937046,13.98136044,14.07046986,14.16950035,14.42580032,14.4906702,14.52600956,14.90898991,15.08736992,14.94668007,14.64490986,14.41442013,14.19587994,13.89729023,13.89729023,13.89729023,6.81489869,7.088468488,7.373020172,7.668994586,7.964968999,8.260943413,8.556917826,8.85289224,9.148866653,9.444841067,9.740815481,10.03678989,10.11271992,10.18864994,10.26457996,10.34050999,10.41644001,10.5424099,10.58646965,10.64169025,10.72171974,10.78184986,10.89634037,11.00629997,11.05152988,11.18832016,11.23243999,11.24269962,11.29952653,11.35635344,11.41318035,11.41318035
13.88512287,13.60251045,13.32565022,13.58314037,13.5984602,13.69696045,13.61559963,13.49435965,13.37311967,13.25187969,13.32763982,13.40339994,13.47916007,13.5549202,13.31849527,13.08207035,13.21131992,13.28608189,13.36084385,13.43560581,13.51036777,13.58512974,13.35527039,13.5202198,13.6883297,15.99201965,16.34917068,16.41513062,16.25481987,16.29755974,16.29755974,16.29755974,5.108272499,5.387740135,5.68249712,5.977254105,6.272011089,6.566768074,6.861525059,7.156282043,7.451039028,7.745796013,8.040552998,8.335309982,8.301632245,8.267954508,8.234276772,8.200599035,8.166921298,8.133243561,8.099565824,8.065888087,8.03221035,8.247186979,8.462163607,8.677140236,8.892116865,9.107093493,9.322070122,9.586489677,10.54808998,10.79733992,11.04658985,11.04658985
,,,,,11.72089958,11.78610417,11.85726833,11.9284325,11.99959667,12.07076083,12.141925,12.21308917,12.28425333,12.3554175,12.42658167,12.49774583,12.3839979,12.3489141,12.40812859,12.46734308,12.52655756,12.58577205,12.64498654,12.70420103,12.76341551,12.82263,12.82263,12.82263,12.89945,12.89945,12.89945,10.01280022,10.11538124,10.21796227,10.32054329,10.42312431,10.52570534,10.62828636,10.73086739,10.83344841,10.93602943,11.03861046,11.1210104,11.20341034,11.28581028,11.36821022,11.45061016,11.5330101,11.61541004,11.69780998,11.78020992,11.86260986,11.94677192,12.03153108,12.11689158,12.20285769,12.28943371,12.37662396,12.46443281,12.55286464,12.64192386,12.64192386,12.64192386
,,,,,,,,,,11.64,11.852,12.064,12.276,12.488,12.7,12.9,13.1,13.3,13.3,13.4,13.86986,14.17568,14.09806667,14.02045333,13.94284,13.86522667,13.78761333,13.78761333,13.8,13.8,13.8,,,,,,,,,,,6.175492432,6.184580359,6.193668286,6.202756212,6.211844139,6.220932066,6.230019992,6.450317462,6.670614931,6.8909124,7.111209869,7.238110065,7.890076637,8.542043209,9.194009781,9.291910172,9.692919731,9.752649784,9.812379837,10.17434978,10.53631973,10.53631973
