Inequality-adjusted Human Development Index (2010),Inequality-adjusted Human Development Index (2011),Inequality-adjusted Human Development Index (2012),Inequality-adjusted Human Development Index (2013),Inequality-adjusted Human Development Index (2014),Inequality-adjusted Human Development Index (2015),Inequality-adjusted Human Development Index (2016),Inequality-adjusted Human Development Index (2017),Inequality-adjusted Human Development Index (2018),Inequality-adjusted Human Development Index (2019),Inequality-adjusted Human Development Index (2020),Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2010),Coefficient of human inequality (2011),Coefficient of human inequality (2012),Coefficient of human inequality (2013),Coefficient of human inequality (2014),Coefficient of human inequality (2015),Coefficient of human inequality (2016),Coefficient of human inequality (2017),Coefficient of human inequality (2018),Coefficient of human inequality (2019),Coefficient of human inequality (2020),Coefficient of human inequality (2021),Overall loss (%) (2010),Overall loss (%) (2011),Overall loss (%) (2012),Overall loss (%) (2013),Overall loss (%) (2014),Overall loss (%) (2015),Overall loss (%) (2016),Overall loss (%) (2017),Overall loss (%) (2018),Overall loss (%) (2019),Overall loss (%) (2020),Overall loss (%) (2021),Inequality in life expectancy (2010),Inequality in life expectancy (2011),Inequality in life expectancy (2012),Inequality in life expectancy (2013),Inequality in life expectancy (2014),Inequality in life expectancy (2015),Inequality in life expectancy (2016),Inequality in life expectancy (2017),Inequality in life expectancy (2018),Inequality in life expectancy (2019),Inequality in life expectancy (2020),Inequality in life expectancy (2021),Inequality in eduation (2010),Inequality in eduation (2011),Inequality in eduation (2012),Inequality in eduation (2013),Inequality in eduation (2014),Inequality in eduation (2015),Inequality in eduation (2016),Inequality in eduation (2017),Inequality in eduation (2018),Inequality in eduation (2019),Inequality in eduation (2020),Inequality in eduation (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
0.401,0.409,0.423,0.429,0.438,0.447,0.455,0.454,0.463,0.473,0.471,0.471,30.19388452,29.92369269,28.29659086,28.07235152,27.87185039,27.69934024,27.54849249,28.19972336,28.05301583,27.91794566,27.79568398,27.70138498,30.98106713,30.79526227,29.26421405,29.20792079,29.01134522,28.70813397,28.68338558,29.82998454,29.63525836,29.50819672,29.49101796,29.27927928,20.67503357,19.86445808,19.07848167,18.40576363,17.80426025,17.28672981,16.83418655,16.41745377,15.97733116,15.57212067,15.20533562,14.92243862,44.81067,44.81067,44.81067,44.81067,44.81067,44.81067,44.81067,48.22657529,48.22657529,48.22657529,48.22657529,48.22657529,25.09595,25.09595,21.00062092,21.00062092,21.00062092,21.00062092,21.00062092,19.95514103,19.95514103,19.95514103,19.95514103,19.95514103
0.403,0.408,0.412,0.421,0.426,,,,,,,,37.40046805,37.43688951,37.32760288,37.17615368,37.19200566,,,,,,,,38.93939394,39.01345291,38.87240356,38.71906841,38.79310345,,,,,,,,24.60840416,24.71766853,24.38980865,23.93546104,23.98301697,23.66824913,23.25896454,22.62666321,22.68073845,22.40088272,21.79156303,21.56492996,32.082,32.082,32.082,32.082,32.082,23.27683,23.27683,23.27683,23.27683,23.27683,23.27683,23.27683,55.511,55.511,55.511,55.511,55.511,,,,,,,
0.211,0.218,0.223,0.212,0.213,0.224,0.229,0.234,0.239,0.243,0.242,0.24,42.84490705,42.55919513,42.29409147,42.06177132,42.06664396,41.46525567,41.10428358,40.85002256,40.64669793,40.56643396,40.21556319,40.13981348,43.27956989,42.78215223,42.5257732,42.39130435,42.43243243,41.66666667,41.43222506,41.20603015,40.98765432,40.87591241,40.54054054,40.59405941,44.79053116,43.93339539,43.13808441,42.44112396,42.45574188,40.651577,39.56866074,38.80587769,38.19590378,37.30686188,36.25424957,36.02700043,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,35.19785,35.19785,35.19785,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459
0.831,0.835,0.84,0.843,0.845,0.847,0.852,0.854,0.856,0.86,0.855,0.86,8.635155519,8.604988575,8.586004098,8.497463488,8.44677093,8.284094985,7.954206041,8.000924889,8.029487911,7.971058988,7.93892064,7.901529772,8.781558727,8.743169399,8.794788274,8.667388949,8.648648649,8.531317495,8.189655172,8.270676692,8.252947481,8.217716115,8.163265306,8.11965812,4.655466557,4.564965725,4.508012295,4.593390465,4.44131279,4.404284954,4.452618122,4.404774666,4.490463734,4.315176964,4.218761921,4.106589317,3.856,3.856,3.856,2.678,2.678,2.696,2.58,2.521,2.521,2.521,2.521,2.521,17.394,17.394,17.394,18.221,18.221,17.752,16.83,17.077,17.077,17.077,17.077,17.077
,,,0.894,0.894,0.895,0.892,0.892,0.893,0.897,0.887,0.894,,,,5.705314015,6.076312792,6.080309395,6.585529425,6.607920982,6.644360304,6.606457233,7.012637499,6.89990636,,,,5.696202532,6.092436975,6.184486373,6.694560669,6.792058516,6.882168926,6.756756757,7.217573222,7.068607069,3.683419466,3.691610575,3.583870649,3.667062044,3.655228376,3.678838968,3.342828274,3.410002947,3.328620911,3.214911699,3.441622496,3.103429079,,,,2.34809,2.37852,2.366899217,1.93114,1.93114,1.82879,1.82879,2.01457,2.01457,,13.24658,12.32452,11.10079,12.19519,12.19519,14.48262,14.48262,14.77567,14.77567,15.58172,15.58172
0.669,0.672,0.678,0.696,0.699,0.711,0.715,0.718,0.72,0.724,0.72,0.722,17.03942588,17.16131449,17.08045563,16.13053653,16.22308442,15.3815291,15.35295193,15.24475519,15.30051001,15.26912062,14.96976161,14.97303049,17.71217712,17.74785802,17.7184466,16.74641148,16.88466112,15.95744681,15.88235294,15.82649472,15.88785047,15.91173055,15.49295775,15.55555556,6.351671219,6.361426353,6.118849754,5.901639462,6.179283142,5.946846962,5.861115456,5.723001957,5.890266418,5.796098232,4.898021221,4.907827854,13.36599543,14.94046313,14.94046313,12.67934912,12.67934912,11.98775734,11.98775734,11.73821662,11.73821662,11.73821662,11.73821662,11.73821662,31.400611,30.182054,30.182054,29.810621,29.810621,28.209983,28.209983,28.273047,28.273047,28.273047,28.273047,28.273047
0.584,0.593,0.604,0.6,0.608,0.616,0.623,0.63,0.637,0.644,0.646,0.651,15.1797744,14.97699336,14.52891591,15.78625644,15.62665284,15.47734655,15.34119476,15.21854064,15.09035632,14.97821948,14.87622576,14.77805961,15.48480463,15.28571429,14.80959097,16.31799163,16.13793103,15.96180082,15.81081081,15.6626506,15.62913907,15.4855643,15.44502618,15.234375,9.953667641,9.345324516,8.798550606,8.287769318,7.80895853,7.361039639,6.952584267,6.584621906,6.200068951,5.863658428,5.557677269,5.263178825,11.46872762,11.46872762,11.46872762,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,24.11692794,24.11692794,23.31946951,27.391,27.391,27.391,27.391,27.391,27.391,27.391,27.391,27.391
0.292,0.292,0.303,0.307,0.321,0.329,0.336,0.344,0.35,0.356,0.358,0.358,38.25445585,38.06422962,36.15156536,35.9340971,35.70808519,35.4974109,35.38302746,35.20949307,34.99417502,34.78127168,34.51896547,34.3359808,38.26638478,38.13559322,36.47798742,36.4389234,36.05577689,35.86744639,35.8778626,35.58052434,35.42435424,35.27272727,35.02722323,34.90909091,37.17165756,36.60097885,35.95392609,35.3015213,34.62348557,33.99146271,33.49859238,32.9779892,32.33203506,31.69332504,30.9064064,30.35745239,43.2,43.2,45.11142,45.11142,45.11142,45.11142,45.60904,45.60904,45.60904,45.60904,45.60904,45.60904,34.39171,34.39171,27.38935,27.38935,27.38935,27.38935,27.04145,27.04145,27.04145,27.04145,27.04145,27.04145
,0.357,0.367,0.375,0.362,0.37,0.374,0.38,0.39,0.395,0.393,0.393,,31.21089783,30.89195735,30.56382545,34.29277533,33.96897874,33.67357622,33.39690131,32.44528628,32.23357694,31.94918871,31.72993835,,31.47792706,31.14446529,30.81180812,34.30127042,33.92857143,33.68794326,33.45008757,32.40901213,32.24699828,32.00692042,31.77083333,37.67780685,36.85228348,35.89546204,34.93094635,34.053936,33.08254623,32.19633865,31.36631393,30.62975883,29.99463081,29.14146614,28.48371506,,33.66053,33.66053,33.66053,32.95967,32.95967,32.95967,32.95967,31.71699,31.71699,31.71699,31.71699,,23.11988,23.11988,23.1,35.86472,35.86472,35.86472,35.86472,34.98911,34.98911,34.98911,34.98911
0.286,0.292,0.295,0.3,0.314,0.321,0.328,0.333,0.339,0.341,0.34,0.341,33.35178361,33.08791337,32.86901714,32.61934139,30.83483865,30.62619887,30.38497522,29.66185684,29.42313309,29.25027898,28.93181407,28.68733521,33.33333333,33.33333333,32.95454545,32.73542601,30.98901099,30.66954644,30.50847458,29.89473684,29.375,29.25311203,29.01878914,28.81002088,39.50904083,38.71743011,38.06074142,37.31171417,36.60235596,35.97643661,35.25276566,34.58361053,33.86743927,33.34887695,32.39348221,31.66004562,29.396,29.396,29.396,29.396,27.69055,27.69055,27.69055,26.76947,26.76947,26.76947,26.76947,26.76947,31.15031,31.15031,31.15031,31.15031,28.21161,28.21161,28.21161,27.63249,27.63249,27.63249,27.63249,27.63249
0.412,0.416,0.426,0.431,0.439,0.44,0.438,0.435,0.434,0.425,0.433,0.432,26.5454081,26.29599747,25.90396747,25.73273969,25.41357266,25.24407231,25.06914809,24.90818694,24.75974563,25.24884449,24.45190083,24.30610437,26.5597148,26.24113475,25.91304348,25.68965517,25.46689304,25.42372881,25.2559727,25.0,24.91349481,25.43859649,24.56445993,24.34325744,26.8002243,26.05199242,25.4989624,24.98527908,24.30924797,23.80074692,23.27597427,22.79309082,22.34776688,23.81506348,21.42423248,20.98684311,25.4,25.4,21.52094,21.52094,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,27.436,27.436,30.692,30.692,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925
0.543,0.554,0.559,0.569,0.575,0.586,0.593,0.6,0.601,0.602,0.593,0.589,24.03794985,23.36683933,22.86438221,22.65218451,22.30406227,21.41873801,20.99439852,20.39286688,20.43648196,20.60042653,20.50432064,20.57743344,25.20661157,24.420191,23.84196185,23.72654155,23.33333333,22.28116711,21.87088274,21.15637319,21.23197903,21.61458333,21.56084656,21.67553191,11.82920456,11.513978,11.13565063,10.81788254,10.53852081,10.26842403,10.00914955,9.804890633,9.588564873,9.439793587,9.151475906,9.370814323,18.47595,18.21465,17.96652,17.62778,17.09953,16.71489,16.19259,15.84659,15.27502,14.64929,14.64929,14.64929,41.808695,40.37189,39.490976,39.510891,39.274136,37.2729,36.781456,35.52712,36.445861,37.712196,37.712196,37.712196
,,0.289,0.293,0.295,0.297,0.3,0.304,0.307,0.31,0.311,0.31,,,44.8346685,44.62512082,44.44876482,44.25407539,44.05590886,43.85877675,43.67126531,43.49193512,43.23612152,43.06900853,,,45.77861163,45.64007421,45.37037037,45.40441176,45.25547445,45.02712477,44.88330341,44.64285714,44.66192171,44.44444444,32.05078888,31.43014908,30.8762455,30.24760246,29.71853447,29.13446617,28.53996658,27.94857025,27.38603592,26.84804535,26.08060455,25.57926559,,,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,,,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96778393,14.438447,13.78750801,13.12870216,12.42931747,11.87511349,11.03690529,10.37656593,9.949831009,9.499298096,9.038320541,8.794361115,,,,,,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,28.04,28.04,28.04,,,,,,,,,
0.626,0.634,0.638,0.641,0.648,0.652,0.655,0.661,0.666,0.673,0.67,0.664,18.09448419,18.02675335,17.99241709,18.02648674,17.6397322,17.35723118,17.501555,17.17606161,16.96765887,16.89880683,16.95712179,16.96065133,18.9119171,18.9258312,18.82951654,19.06565657,18.59296482,18.29573935,18.43088418,18.09169765,17.87916153,17.82661783,17.89215686,17.92336218,7.080696583,6.836194038,6.678920269,6.497566223,6.384035587,6.234734535,6.100358009,5.990523815,5.846722603,5.706110477,5.881055355,5.891644001,13.8051,12.91043,13.01343,12.42771,12.2896,11.91329,12.18311,11.9393,11.58937,11.57677,11.57677,11.57677,33.397656,34.333636,34.284901,35.154184,34.245561,33.923669,34.221197,33.598361,33.466884,33.41354,33.41354,33.41354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.218681335,5.142800808,5.077011108,5.016538143,4.957205772,4.898177624,4.840030193,4.784952641,4.737168789,4.7070961,4.558046818,4.628062248,,11.25588,11.25588,11.25588,10.93381,10.93381,10.93381,7.81109,7.81109,9.09712,9.09712,9.09712,,,,,,,,,,,,
0.761,0.768,0.77,0.77,0.768,0.777,0.785,0.803,0.813,0.818,0.818,0.819,11.02688066,10.64993963,10.37254509,10.41081893,11.01276802,10.67159578,10.29531244,9.352750008,8.757786287,8.750624908,8.409570499,8.399155342,11.20186698,10.80139373,10.46511628,10.56910569,11.21387283,10.79219288,10.49030787,9.470124014,8.856502242,8.807134894,8.501118568,8.59375,3.192301989,3.090478897,2.998975277,2.918636799,2.847974062,2.801057339,2.772077322,2.738080025,2.704918861,2.683434725,2.675261497,2.644016027,16.28618,13.97747,13.14751,12.40564,12.68604,11.70944,11.7125,11.03766,10.47803,10.47803,9.5209,9.5209,13.60216,14.88187,14.97115,15.90818,17.50429,17.50429,16.40136,14.28251,13.09041,13.09041,13.03255,13.03255
0.824,0.825,0.827,0.834,0.841,0.844,0.848,0.855,0.854,0.856,0.853,0.85,5.163349917,5.374797597,5.254216381,5.238024135,5.191156194,5.155622297,5.150829869,4.635215068,4.460932136,4.459885876,4.370831645,4.378451583,5.287356322,5.389908257,5.377574371,5.334846765,5.186020293,5.274971942,5.251396648,4.682274247,4.474272931,4.570791527,4.372197309,4.386951631,3.475939751,3.423932791,3.393329144,3.270032406,3.221918583,3.199076891,3.421059608,3.319145203,3.277196407,3.274057627,3.089664936,3.112524748,1.32297,1.38564,1.39045,1.37273,1.6132,1.52944,1.60035,1.37701,1.38824,1.38824,1.25563,1.25563,10.69114,11.31482,10.97887,11.07131,10.73835,10.73835,10.43108,9.20949,8.71736,8.71736,8.7672,8.7672
,0.865,0.869,0.867,0.861,0.861,0.87,0.873,0.874,0.888,0.884,0.883,,6.99440755,6.682168051,6.960703958,7.851578179,7.864552521,7.369450485,7.300031658,7.316227988,6.199358629,6.174221125,6.177129593,,7.08915145,6.859592712,7.173447537,8.110992529,8.208955224,7.545164718,7.521186441,7.513227513,6.329113924,6.355932203,6.263269639,3.719280958,3.768982649,3.550464153,3.551241875,3.487544537,3.526467562,3.650301456,3.442044973,3.490633965,3.474845886,3.399433374,3.408158779,,2.40336,2.44114,2.58042,2.60524,2.60524,2.7227,2.7227,2.7227,2.6632,2.6632,2.6632,14.54559,14.81088,14.0549,14.75045,17.46195,17.46195,15.73535,15.73535,15.73535,12.46003,12.46003,12.46003
0.301,0.309,,,,,,,,,,,33.51214193,33.34079209,,,,,,,,,,,34.27947598,34.25531915,,,,,,,,,,,31.85363579,31.33958626,30.76721382,30.21466255,29.64077377,29.10373497,28.57972527,27.96222496,27.44249916,27.02727127,26.1596508,25.70430756,46.974,46.974,,,,,,,,,,,21.70879,21.70879,30.03165892,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.30051041,18.6509037,17.51012421,21.27141762,20.87308121,21.10400009,18.54019547,22.67356491,9.300085068,9.284256935,9.179593086,8.952466011,,,,,,,,,,,,,,,,,,,,,,,,
0.858,0.863,0.864,0.872,0.863,0.872,0.882,0.886,0.887,0.892,0.896,0.898,5.887764393,6.67033636,6.961048551,6.431890577,7.288272478,6.731853188,6.399576271,6.002870664,5.774428536,5.654176324,5.270437869,5.186913722,6.024096386,6.803455724,7.196562836,6.538049303,7.403433476,6.837606838,6.468716861,6.144067797,5.838641189,5.708245243,5.385427666,5.274261603,3.631733179,3.624849081,3.522075653,3.526381731,3.833607435,3.599749565,3.422578812,3.602241993,3.532225609,3.171468973,3.256873608,3.006301165,3.07575,3.06147,2.96127,2.97301,4.5676,4.33284,4.29257,3.01486,2.90482,2.90482,2.50376,2.50376,10.95581,13.32469,14.3998,12.79628,13.46361,12.26297,11.48358,11.39151,10.88624,10.88624,10.05068,10.05068
0.539,0.543,0.553,0.552,0.566,0.572,0.586,0.604,0.605,0.619,0.614,0.618,23.55868813,23.57083901,22.730182,23.25094725,22.05745156,22.05365594,22.1544743,20.04788171,20.62280994,19.60579368,19.46358622,19.4119047,23.8700565,23.84291725,22.98050139,23.54570637,22.25274725,22.2826087,22.38410596,20.21136063,20.81151832,19.71465629,19.63350785,19.42633638,18.5573864,18.63671303,18.55195999,18.54873276,18.53825569,18.50148582,18.44406891,18.34430313,18.23925781,18.14406204,17.71743965,17.5623951,20.18834,19.58799,18.99107,19.03638,18.99339,17.87405,17.64944,15.70572,15.82689,15.04513,15.04513,15.04513,31.930338,32.487814,30.647516,32.167729,28.640709,29.785432,30.369914,26.093622,27.802282,25.628189,25.628189,25.628189
,,,0.581,0.585,0.589,0.592,0.593,0.595,0.599,0.59,0.598,,,,19.84218828,19.77635836,19.71380464,19.64391303,19.56829333,19.48003777,19.2974978,19.19481028,19.07287475,,,,20.51983584,20.40816327,20.40540541,20.3230148,20.29569892,20.13422819,19.9197861,19.83695652,19.73154362,15.2769413,14.96063232,14.69656944,14.47336483,14.27587509,14.08821392,13.87853909,13.65167999,13.3869133,13.10467339,12.79661083,12.43080425,,,,33.68956,33.68956,33.68956,33.68956,33.68956,33.68956,33.28262,33.28262,33.28262,,,,11.36364,11.36364,11.36364,11.36364,11.36364,11.36364,11.5052,11.5052,11.5052
0.574,0.591,0.597,0.604,0.618,0.619,0.621,0.623,0.62,0.619,0.597,0.604,21.49096737,19.97446277,19.92040748,19.48995319,18.20978009,18.46835237,18.0095579,17.81662255,18.03465514,17.93478001,17.81973128,17.76487784,22.01086957,20.45760431,20.50599201,20.0,18.68421053,19.08496732,18.50393701,18.24146982,18.6351706,18.55263158,18.33105335,18.37837838,12.39208412,11.90227032,11.44586945,10.98998356,10.59679127,10.2771101,10.14942169,9.787412643,9.583942413,9.379899025,9.034752846,8.870192528,17.4609,16.38272,16.42115,15.45335,14.18076,13.80548,13.5816,13.76572,13.89605,13.3739,13.3739,13.3739,34.619918,31.638398,31.894203,32.026526,29.851789,31.322467,30.297652,29.896735,30.623973,31.050541,31.050541,31.050541
,,0.478,0.483,0.491,0.496,0.503,0.509,0.515,0.52,0.52,0.519,,,29.70189352,29.55340198,28.97150915,28.82812072,28.67566411,28.5388891,28.40631057,28.27715636,28.12843689,28.03942983,,,30.52325581,30.40345821,29.75679542,29.74504249,29.45301543,29.4036061,29.35528121,29.25170068,29.15531335,29.00136799,15.47574806,15.02360821,14.45968056,14.01420593,13.46861744,13.03845215,12.58108234,12.17075729,11.7730217,11.38555908,10.93940067,10.67237949,40.9,40.9,38.143,38.143,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,,,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1382103,25.48719788,24.88716507,24.40716553,23.81917191,23.27708244,22.81713104,22.33881187,21.79607773,21.36245346,20.83821869,20.2650795,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.748,0.753,0.761,0.769,0.782,0.788,0.783,0.788,,,,,14.99218579,14.9024746,14.5680795,13.97756587,12.9794516,12.97175568,12.63774534,12.64302265,,,,,15.38461538,15.29808774,14.97206704,14.26978818,13.20754717,13.21585903,12.90322581,12.9281768,3.429495811,3.35721159,3.252827168,3.039278269,3.122177362,2.966983795,2.990808487,2.986117601,2.961744785,2.938657045,2.867496014,2.883327961,,,,,19.00461,19.19271,18.56616,17.07892,16.86947,16.86947,15.73379,15.73379,19.74687,22.14397,23.90812,21.26914,22.84977,22.54773,22.14727,21.86766,19.10714,19.10714,19.31195,19.31195
0.786,0.798,0.797,0.804,0.795,0.798,0.809,0.823,0.831,0.835,0.831,0.829,8.426208275,8.07907734,8.530754858,8.287929852,9.165698211,9.123555044,8.280842212,7.077702051,6.630156973,6.564204672,6.68923578,6.647519602,8.710801394,8.381171068,8.81006865,8.636363636,9.556313993,9.523809524,8.587570621,7.215332582,6.734006734,6.808035714,6.838565022,6.853932584,4.915424824,4.355072021,4.572894573,3.903639555,4.118584633,3.908805132,3.796676636,3.696776152,3.26402092,3.066164017,3.05070734,2.925558805,2.64778,2.51063,2.42599,2.33291,2.38509,2.46844,2.31246,2.07606,2.28057,2.28057,2.02737,2.02737,17.71542,17.37153,18.59338,18.62724,20.99342,20.99342,18.73339,15.46027,14.34588,14.34588,14.98963,14.98963
,0.295,0.303,0.312,0.32,0.328,0.334,0.342,0.35,0.361,0.362,0.363,,28.57974885,28.22427565,27.87437953,27.55454196,27.22114505,27.91344132,27.62220381,27.34755069,26.43640138,26.2037964,25.99192684,,30.09478673,29.53488372,29.25170068,28.88888889,28.69565217,28.93617021,28.75,28.42535787,27.51004016,27.30923695,27.10843373,33.04836655,31.90685654,30.84043694,29.7907486,28.83123589,27.83104515,26.88319397,26.00948143,25.18552208,24.46302414,23.7652092,23.12960052,,44.335,44.335,44.335,44.335,44.335,43.50563,43.50563,43.50563,42.77036,42.77036,42.77036,9.05791,9.49739,9.49739,9.49739,9.49739,9.49739,13.3515,13.3515,13.3515,12.07582,12.07582,12.07582
0.858,0.865,0.865,0.877,0.879,0.884,0.883,0.884,0.887,0.889,0.888,0.89,5.70116717,5.403308585,5.39752369,5.160772424,5.170093047,4.905339856,5.110925309,5.23734182,5.185842444,5.196899503,5.259154375,5.224387065,5.817782656,5.464480874,5.464480874,5.291576674,5.177993528,4.946236559,5.155746509,5.353319058,5.235042735,5.324813632,5.330490405,5.319148936,3.39279151,3.375205755,3.36385107,2.886857271,3.104529142,2.716499567,2.885515928,2.99454546,2.980477333,3.01364851,2.878533125,2.774231195,2.40087,2.05531,2.05054,2.0293,2.01812,1.98233,1.93747,2.27839,2.23918,2.23918,2.41555,2.41555,11.30984,10.77941,10.77818,10.56616,10.38763,10.01719,10.50979,10.43909,10.33787,10.33787,10.48338,10.48338
0.599,0.602,0.604,0.608,,,,,,,,,16.06146724,16.03468679,16.0774257,16.03868714,,,,,,,,,16.10644258,16.27260083,16.22746186,16.25344353,,,,,,,,,13.73001385,13.64967251,13.77788925,13.66167355,13.77230263,13.96322441,14.42942429,14.40037155,14.73733425,14.96254635,15.19715977,15.23796844,11.85438786,11.85438786,11.85438786,11.85438786,11.85438786,,,2.636659279,2.636659279,2.636659279,2.636659279,2.636659279,22.6,22.6,22.6,22.6,,,,,,,,
0.798,0.802,0.805,0.812,0.813,0.815,0.817,0.815,0.82,0.823,0.821,0.825,8.906376379,8.905534651,8.598591501,8.300552486,8.712640857,8.604794103,8.685130547,9.146129323,8.940650906,8.920900152,8.498473264,8.485328055,9.007981756,8.96708286,8.73015873,8.455467869,8.856502242,8.632286996,8.715083799,9.242761693,8.990011099,9.060773481,8.574610245,8.637873754,4.029209137,3.894943953,3.884114504,3.931587458,3.83704257,3.921822309,3.87375164,3.931787968,3.970052719,3.910800457,3.855709791,3.816274166,9.43536,8.64799,7.96173,7.50871,8.6482,8.23988,8.59672,9.135,9.48623,9.48623,7.72173,7.72173,13.25456,14.17367,13.94993,13.46136,13.65268,13.65268,13.58492,14.3716,13.36567,13.36567,13.91798,13.91798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16838837,16.92874336,16.64819527,16.34120369,16.0474472,15.96376419,15.40706635,15.1004858,14.79390144,14.52069283,14.27457428,13.9006424,,,,,,,,,,,,,,,,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943
,,0.523,0.529,0.537,0.543,0.548,0.55,0.552,0.554,0.556,0.554,,,22.95645139,22.74313161,22.52496144,22.26753232,21.95967544,22.02953752,21.889877,21.78505993,21.62435246,21.46330738,,,22.97496318,22.77372263,22.62247839,22.31759657,21.93732194,22.09631728,21.81303116,21.86177715,21.69014085,21.52974504,26.38096428,25.68309593,24.97813416,24.33817482,23.68366432,22.91137695,21.98780632,21.39479446,20.97581291,20.66136169,20.17923927,19.69610405,,,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,,,20.4113,20.4113,20.4113,20.4113,20.4113,21.2138981,21.2138981,21.2138981,21.2138981,21.2138981
0.837,0.828,0.832,0.85,0.851,0.848,0.848,0.856,0.85,0.856,0.845,0.85,7.943573307,8.529932969,8.208599495,7.641541918,7.687400511,7.991175936,8.249385787,7.785008024,8.231075037,8.217742353,8.229676792,8.243507931,8.223684211,8.810572687,8.470847085,7.809110629,7.9004329,8.225108225,8.522114347,7.956989247,8.503767492,8.449197861,8.54978355,8.503767492,4.283649921,4.203548908,4.028728485,3.891005754,3.903341532,3.889007807,3.906587362,3.872034073,3.875785112,3.835787058,3.871590376,3.913083792,2.61782,2.61782,2.78598,2.83294,2.83294,3.7586,3.74374,2.73404,2.84785,2.84785,2.84785,2.84785,16.92925,18.76843,17.81109,16.20068,16.32592,16.32592,17.09783,16.74895,17.96959,17.96959,17.96959,17.96959
,,0.651,0.675,0.684,0.689,0.698,0.703,0.707,0.712,0.706,0.706,,,14.83504501,12.65116414,12.24448865,12.19435097,11.53573925,11.57359228,11.53875059,11.49531183,11.43579572,11.41161372,,,15.78266494,13.12741313,12.75510204,12.78481013,12.0906801,12.125,12.06467662,12.09876543,11.97007481,11.97007481,9.310502052,8.753879547,8.313811302,7.942168713,7.644381523,7.493968487,7.240181446,7.085971832,6.981446743,6.851130486,6.67258215,6.600036144,,,4.061323717,4.061323717,3.139084436,3.139084436,2.517036309,2.784805013,2.784805013,2.784805013,2.784805013,2.784805013,32.13,32.13,32.13,25.95,25.95,25.95,24.85,24.85,24.85,24.85,24.85,24.85
0.384,0.411,0.418,0.425,0.425,0.431,0.436,0.442,0.446,0.455,0.457,0.458,32.72435928,29.45681021,29.18279733,28.93367408,29.03283568,28.82265286,28.56502219,28.04997454,27.8852273,27.66501437,27.48843076,27.33194806,33.1010453,29.74358974,29.39189189,29.16666667,29.16666667,28.99505766,28.64157119,28.24675325,28.06451613,27.89223455,27.68987342,27.53164557,30.04825783,29.22133064,28.39929199,27.65192223,26.85912704,26.22857857,25.45568657,24.90576363,24.41152191,23.7508831,23.22113228,22.75168419,40.9,36.74153,36.74153,36.74153,34.92485,34.92485,34.92485,35.10167,35.10167,35.10167,35.10167,35.10167,27.22482,22.40757,22.40757,22.40757,25.31453,25.31453,25.31453,24.14249,24.14249,24.14249,24.14249,24.14249
,,0.271,0.274,0.279,0.283,0.289,0.295,0.294,0.298,0.299,0.299,,,34.94911671,34.79589812,34.71809229,34.58975188,34.37999694,34.23639775,34.97061802,34.80091358,34.54787963,34.33844766,,,36.23529412,36.13053613,35.86206897,35.68181818,35.77777778,35.58951965,36.36363636,36.18843683,35.83690987,35.69892473,40.43008804,39.96787643,39.52573013,39.06607437,38.83265686,38.44763565,37.81837082,37.38757324,36.94997406,36.44086075,35.68175888,35.05346298,42.0,42.0,48.26536,48.26536,48.26536,48.26536,48.26536,48.26536,50.12411,50.12411,50.12411,50.12411,,,17.05626,17.05626,17.05626,17.05626,17.05626,17.05626,17.83777,17.83777,17.83777,17.83777
