Inequality-adjusted Human Development Index (2010),Inequality-adjusted Human Development Index (2011),Inequality-adjusted Human Development Index (2012),Inequality-adjusted Human Development Index (2013),Inequality-adjusted Human Development Index (2014),Inequality-adjusted Human Development Index (2015),Inequality-adjusted Human Development Index (2016),Inequality-adjusted Human Development Index (2017),Inequality-adjusted Human Development Index (2018),Inequality-adjusted Human Development Index (2019),Inequality-adjusted Human Development Index (2020),Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2010),Coefficient of human inequality (2011),Coefficient of human inequality (2012),Coefficient of human inequality (2013),Coefficient of human inequality (2014),Coefficient of human inequality (2015),Coefficient of human inequality (2016),Coefficient of human inequality (2017),Coefficient of human inequality (2018),Coefficient of human inequality (2019),Coefficient of human inequality (2020),Coefficient of human inequality (2021),Overall loss (%) (2010),Overall loss (%) (2011),Overall loss (%) (2012),Overall loss (%) (2013),Overall loss (%) (2014),Overall loss (%) (2015),Overall loss (%) (2016),Overall loss (%) (2017),Overall loss (%) (2018),Overall loss (%) (2019),Overall loss (%) (2020),Overall loss (%) (2021),Inequality in life expectancy (2010),Inequality in life expectancy (2011),Inequality in life expectancy (2012),Inequality in life expectancy (2013),Inequality in life expectancy (2014),Inequality in life expectancy (2015),Inequality in life expectancy (2016),Inequality in life expectancy (2017),Inequality in life expectancy (2018),Inequality in life expectancy (2019),Inequality in life expectancy (2020),Inequality in life expectancy (2021),Inequality in eduation (2010),Inequality in eduation (2011),Inequality in eduation (2012),Inequality in eduation (2013),Inequality in eduation (2014),Inequality in eduation (2015),Inequality in eduation (2016),Inequality in eduation (2017),Inequality in eduation (2018),Inequality in eduation (2019),Inequality in eduation (2020),Inequality in eduation (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
,0.653,0.659,0.668,0.674,0.679,0.682,0.687,0.693,0.698,0.668,0.685,,10.29242224,10.01508146,9.667121131,9.407967627,9.176522512,8.911917924,8.65251949,8.41429991,8.21730195,8.360923077,7.915732963,,10.42524005,10.21798365,9.851551957,9.530201342,9.22459893,9.066666667,8.764940239,8.454425363,8.278580815,8.493150685,8.053691275,19.14200783,18.28709602,17.4840889,16.62669373,15.87365723,15.13292217,14.32725716,13.53349686,12.81883812,12.22784424,12.65870762,11.32313728,3.727167133,3.73117071,3.702155473,3.515669662,3.491245651,3.537645367,3.549496613,3.56506161,3.56506161,3.56506161,3.56506161,3.56506161,,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859
0.28,0.285,0.296,0.302,0.307,0.309,0.312,0.3,0.3,0.303,0.301,0.302,29.89293379,29.48815881,28.02340705,27.64078402,27.30509638,27.03502344,26.74399701,29.58906823,29.38897337,29.13949535,28.86453833,28.67465287,30.86419753,30.48780488,28.84615385,28.26603325,27.9342723,27.80373832,27.44186047,29.90654206,29.90654206,29.69837587,29.342723,29.10798122,35.46485138,34.25052643,33.05984116,31.91197205,30.90490913,30.09469032,29.22161102,28.34966469,27.74938011,27.00094604,26.17607498,25.60641861,40.97,40.97,36.86809,36.86809,36.86809,36.86809,36.86809,39.48821,39.48821,39.48821,39.48821,39.48821,13.24395,13.24395,14.14229,14.14229,14.14229,14.14229,14.14229,20.92933,20.92933,20.92933,20.92933,20.92933
0.84,0.836,0.836,0.843,0.843,0.85,0.852,0.86,0.861,0.865,0.867,0.874,7.84551195,8.440361383,8.486319346,7.93469359,8.410854293,7.951740222,8.085200491,7.601067298,7.649995799,7.618844901,6.522517861,6.587387026,7.894736842,8.533916849,8.633879781,7.969432314,8.469055375,8.008658009,8.090614887,7.626208378,7.717041801,7.585470085,6.573275862,6.723585912,3.981315851,3.848214149,3.986088037,3.788840771,3.702262878,3.594240665,3.524961472,3.728221893,3.767567396,3.674114704,3.387473583,3.582081079,7.627,9.1745,9.1745,8.09488,9.27642,8.0071,8.6933,7.68431,8.18013,8.18013,5.87561,5.87561,11.92822,12.29837,12.29837,11.92036,12.25388,12.25388,12.03734,11.39067,11.00229,11.00229,10.30447,10.30447
,0.311,0.318,0.326,0.33,0.334,0.335,0.333,0.334,0.335,0.333,0.334,,37.35224857,37.19981199,37.04775943,36.82621354,36.6719955,36.52607061,36.9361084,36.76607717,36.5884051,36.33137334,36.1098793,,37.6753507,37.52455796,37.30769231,37.02290076,36.86200378,36.79245283,37.16981132,36.98113208,36.79245283,36.45038168,36.38095238,38.31261444,37.87253571,37.41522598,36.9590683,36.52959061,36.06693649,35.62916183,35.14041519,34.6303215,34.0973053,33.32621002,32.66172791,,44.79226,44.79226,44.79226,43.65639,43.65639,43.65639,43.69355,43.69355,43.69355,43.69355,43.69355,23.61438,29.39195,29.39195,29.39195,30.29266,30.29266,30.29266,31.97436,31.97436,31.97436,31.97436,31.97436
0.265,0.275,0.284,0.29,0.279,0.287,0.295,0.303,0.312,0.315,0.314,0.315,28.2601571,27.9359587,27.66300566,27.41616169,30.92714251,30.67067532,30.42987637,30.20155784,29.96190711,29.79744916,29.50045717,29.27530611,28.76344086,28.38541667,28.10126582,27.86069652,31.61764706,31.33971292,30.91334895,30.82191781,30.51224944,30.30973451,30.06681514,29.844098,39.62478256,38.65218735,37.83332825,37.09279633,36.31689835,35.5474968,34.82509995,34.14014435,33.42119217,32.9278183,32.03684235,31.36138916,20.96640874,20.96640874,20.96640874,20.96640874,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,24.18928,24.18928,24.18928,24.18928,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505
,0.393,0.402,0.405,0.438,0.453,0.462,0.471,0.488,0.489,0.498,0.503,,29.6238264,29.36985339,29.12570704,24.28146447,24.04444525,23.80965826,23.57591332,22.62243087,23.43605662,23.21187004,23.13718939,,29.94652406,29.72027972,29.44250871,24.87135506,24.75083056,24.50980392,24.27652733,23.1496063,24.06832298,23.96946565,23.903177,22.83040237,22.04715919,21.28524017,20.55280113,19.87892342,19.16786575,18.46350479,17.76226997,17.0665226,16.43984985,15.76729012,15.54324818,39.4,38.55827,38.55827,38.55827,37.30855,37.30855,37.30855,37.30855,35.55633,37.31177,37.31177,37.31177,,28.26605,28.26605,28.26605,15.65692,15.65692,15.65692,15.65692,15.24444,16.55655,16.55655,16.55655
0.713,0.709,0.717,0.722,0.717,0.715,0.713,0.708,0.716,0.718,0.707,0.701,9.703197788,10.53057757,9.992925421,10.08033958,10.97869376,11.35791836,11.52358417,12.0107489,11.08828875,11.03607555,11.38533853,11.37176091,9.746835443,10.70528967,10.15037594,10.31055901,11.15241636,11.61928307,11.86650185,12.37623762,11.49567367,11.35802469,11.84538653,11.82389937,7.513013363,6.984802723,6.706866264,6.534178734,6.555721283,5.937725067,5.862112522,5.799176693,5.54673624,5.390096664,5.221115589,5.180382729,6.14738,5.80724,5.51671,5.46531,6.42343,6.7133,6.51633,6.32881,6.09875,6.09875,5.93179,5.93179,15.4492,18.79969,17.7552,18.24153,19.95693,21.42273,22.19231,23.90426,21.61938,21.61938,23.00311,23.00311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.676873684,5.584329128,5.387442589,5.285290241,5.210981369,5.145365715,5.073634148,5.003754139,4.872650623,4.766443729,4.602693558,4.50674057,22.1544907,22.1544907,22.1544907,22.1544907,22.1544907,22.1544907,17.439716,15.87218065,12.56789221,12.56789221,12.56789221,12.56789221,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84082222,10.6699028,10.51113892,10.32153034,10.14827633,10.47163582,9.816437721,9.6415205,9.448785782,14.03040218,8.86548233,8.739097595,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,,,,,,,,,,,,
,0.627,0.629,0.634,0.641,0.643,0.662,0.664,0.673,0.679,0.678,0.677,,14.08861618,15.19896014,15.1605606,14.88410693,15.23636483,13.83362804,13.81374155,13.05344918,13.02798003,12.98339274,12.97720744,,14.3442623,15.5704698,15.5792277,15.21164021,15.50591327,14.02597403,13.98963731,13.27319588,13.28224777,13.18822023,13.20512821,5.068748474,4.880657673,4.749058723,4.633860111,4.603337288,4.450703144,4.365575314,4.305915833,4.211072445,4.134665012,4.00090313,3.98234725,21.47852902,20.6874517,20.6874517,20.6874517,19.8886135,21.09802134,16.97493881,16.97493881,14.78890508,14.78890508,14.78890508,14.78890508,,16.69773918,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037
,,0.754,0.756,0.76,0.76,0.762,0.766,0.768,0.773,0.764,0.765,,,6.411337403,6.346256919,6.298859779,6.238520487,6.182972932,6.126442695,6.075658743,5.332946682,5.284676219,5.255721395,,,6.451612903,6.435643564,6.403940887,6.403940887,6.273062731,6.242350061,6.112469438,5.385556916,5.328376704,5.321782178,5.309393883,5.060360909,4.774452209,4.579210758,4.380287647,4.199269772,4.032627106,3.863036394,3.710684538,3.581320047,3.436508656,3.349644184,,,3.67781,3.67781,3.67781,3.67781,3.67781,3.67781,3.67781,2.77203,2.77203,2.77203,12.02035035,10.91539614,10.78175,10.78175,10.83848169,10.83848169,10.83848169,10.83848169,10.83848169,9.64549,9.64549,9.64549
,0.549,0.552,0.552,0.55,0.553,0.557,0.554,0.554,0.554,0.54,0.535,,21.7564526,21.62813572,21.49118046,21.36853126,20.88841915,20.74716695,20.61136182,20.47975572,20.35605367,20.6464386,20.6622413,,22.56699577,22.58064516,22.47191011,22.42595205,21.89265537,21.76966292,21.6407355,21.52974504,21.41843972,21.73913043,21.66910688,11.81948185,11.48853779,11.10358715,10.69272137,10.32477379,9.926147461,9.502390862,9.094975471,8.700157166,8.329051018,9.200205803,9.247613907,,15.85449,15.85449,15.85449,15.85449,14.81278,14.81278,14.81278,14.81278,14.81278,14.81278,14.81278,,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633
0.473,0.494,0.498,0.505,0.508,0.516,0.529,0.538,0.555,0.566,0.55,0.549,28.257118,25.81235711,25.77708427,25.54713363,25.37221041,24.87476648,24.22166499,23.69835376,22.00888558,20.81747611,20.61476564,20.47608422,28.54984894,26.04790419,26.11275964,25.95307918,25.73099415,25.2173913,24.5363766,24.01129944,22.26890756,21.05997211,20.74927954,20.66473988,22.942276,22.16923332,21.4901638,20.94509888,20.51975822,20.16284943,19.82933998,19.58058929,19.32530975,19.04623032,18.43809891,18.02205467,23.6719,21.6249,20.53567,19.90639,20.20261,19.81948,19.3384,19.30221,17.56781,16.54294,16.54294,16.54294,38.157178,33.642938,35.305419,35.789912,35.394263,34.64197,33.497255,32.212262,29.133537,26.863258,26.863258,26.863258
0.536,0.54,0.549,0.568,0.577,0.577,0.572,0.578,0.582,0.586,0.579,0.576,24.78530613,24.7790978,23.93705449,23.2453983,22.58280367,22.35828303,23.0573235,22.62603457,22.53255959,22.22385494,22.31647706,22.31580091,25.86445367,25.82417582,25.0,24.26666667,23.47480106,23.37317397,24.2384106,23.84716733,23.82198953,23.49869452,23.61477573,23.60742706,12.0366354,11.64214039,11.24058247,10.91271591,10.63202,10.4225111,10.23794651,10.07506371,9.894664764,9.712618828,9.990485191,9.988456726,21.08318,22.42192,19.91471,19.29072,18.49606,18.04837,18.39506,16.9775,16.06656,15.65257,15.65257,15.65257,41.236103,40.273233,40.655871,39.532759,38.620331,38.603968,40.538964,40.82554,41.636454,41.306376,41.306376,41.306376
,,0.651,0.652,0.653,0.656,0.659,0.661,0.662,0.664,0.656,0.657,,,16.22729106,16.1922483,16.151267,16.10004833,16.04055749,15.98427958,15.91507716,15.85112885,15.79009115,15.71572331,,,17.28081321,17.15374841,17.23700887,17.06700379,17.00251889,16.95979899,16.93851945,16.89612015,16.75126904,16.83544304,9.731396675,9.633282661,9.549645424,9.444517136,9.321573257,9.167917252,8.989444733,8.820611,8.613003731,8.421158791,8.238045692,8.014942169,,,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.849525928,6.902755737,6.972268105,7.052103996,7.13595295,7.223927498,7.313009262,7.400830269,7.481441498,7.540385723,7.561635017,7.503439903,,,,,,,,,,,,,,,,,,,,,,,,
